Temp 3,Temp 2,Temp 1,Prec 3,Prec 2,Prec 1,Flow 3,Flow 2,Flow 1,Target Flow
28.0,46.0,38.0,0.0,0.0,0.2,4.35,4.17,10.8,6.5
46.0,38.0,44.0,0.0,0.2,0.0,4.17,10.8,6.5,7.9
38.0,44.0,46.0,0.2,0.0,0.21,10.8,6.5,7.9,8.24
44.0,46.0,45.0,0.0,0.21,0.04,6.5,7.9,8.24,5.46
46.0,45.0,38.0,0.21,0.04,0.0,7.9,8.24,5.46,4.27
45.0,38.0,46.0,0.04,0.0,0.0,8.24,5.46,4.27,3.53
38.0,46.0,44.0,0.0,0.0,0.0,5.46,4.27,3.53,3.69
46.0,44.0,46.0,0.0,0.0,0.1,4.27,3.53,3.69,4.14
44.0,46.0,42.0,0.0,0.1,0.02,3.53,3.69,4.14,7.5
46.0,42.0,52.0,0.1,0.02,0.96,3.69,4.14,7.5,18.0
42.0,52.0,54.0,0.02,0.96,0.11,4.14,7.5,18.0,11.0
52.0,54.0,46.0,0.96,0.11,0.0,7.5,18.0,11.0,6.42
54.0,46.0,46.0,0.11,0.0,0.0,18.0,11.0,6.42,5.42
46.0,46.0,56.0,0.0,0.0,0.02,11.0,6.42,5.42,4.96
46.0,56.0,50.0,0.0,0.02,0.0,6.42,5.42,4.96,4.3
56.0,50.0,46.0,0.02,0.0,0.0,5.42,4.96,4.3,3.91
50.0,46.0,52.0,0.0,0.0,0.01,4.96,4.3,3.91,3.84
46.0,52.0,62.0,0.0,0.01,0.0,4.3,3.91,3.84,3.5
52.0,62.0,58.0,0.01,0.0,0.0,3.91,3.84,3.5,4.86
62.0,58.0,54.0,0.0,0.0,0.34,3.84,3.5,4.86,23.4
58.0,54.0,54.0,0.0,0.34,0.22,3.5,4.86,23.4,10.4
54.0,54.0,44.0,0.34,0.22,0.03,4.86,23.4,10.4,5.08
54.0,44.0,37.0,0.22,0.03,0.02,23.4,10.4,5.08,4.14
44.0,37.0,33.0,0.03,0.02,0.0,10.4,5.08,4.14,3.57
37.0,33.0,39.0,0.02,0.0,0.0,5.08,4.14,3.57,3.91
33.0,39.0,45.0,0.0,0.0,0.05,4.14,3.57,3.91,3.33
39.0,45.0,47.0,0.0,0.05,0.0,3.57,3.91,3.33,3.11
45.0,47.0,40.0,0.05,0.0,0.0,3.91,3.33,3.11,2.94
47.0,40.0,45.0,0.0,0.0,0.0,3.33,3.11,2.94,2.78
40.0,45.0,47.0,0.0,0.0,0.03,3.11,2.94,2.78,15.8
45.0,47.0,52.0,0.0,0.03,0.39,2.94,2.78,15.8,5.85
47.0,52.0,60.0,0.03,0.39,0.0,2.78,15.8,5.85,3.71
52.0,60.0,58.0,0.39,0.0,0.0,15.8,5.85,3.71,3.22
60.0,58.0,60.0,0.0,0.0,0.0,5.85,3.71,3.22,3.6
58.0,60.0,67.0,0.0,0.0,0.09,3.71,3.22,3.6,10.9
60.0,67.0,56.0,0.0,0.09,0.78,3.22,3.6,10.9,82.7
67.0,56.0,62.0,0.09,0.78,0.81,3.6,10.9,82.7,32.0
56.0,62.0,65.0,0.78,0.81,30.14,10.9,82.7,32.0,13.3
62.0,65.0,68.0,0.81,30.14,0.08,82.7,32.0,13.3,8.64
65.0,68.0,67.0,30.14,0.08,0.03,32.0,13.3,8.64,13.5
68.0,67.0,68.0,0.08,0.03,0.24,13.3,8.64,13.5,25.1
67.0,68.0,68.0,0.03,0.24,0.1,8.64,13.5,25.1,14.0
68.0,68.0,56.0,0.24,0.1,0.0,13.5,25.1,14.0,6.46
68.0,56.0,46.0,0.1,0.0,0.0,25.1,14.0,6.46,5.08
56.0,46.0,48.0,0.0,0.0,0.0,14.0,6.46,5.08,5.66
46.0,48.0,62.0,0.0,0.0,0.11,6.46,5.08,5.66,6.19
48.0,62.0,67.0,0.0,0.11,0.08,5.08,5.66,6.19,5.41
62.0,67.0,73.0,0.11,0.08,0.05,5.66,6.19,5.41,4.68
67.0,73.0,74.0,0.08,0.05,0.0,6.19,5.41,4.68,4.11
73.0,74.0,54.0,0.05,0.0,0.0,5.41,4.68,4.11,3.63
74.0,54.0,48.0,0.0,0.0,0.0,4.68,4.11,3.63,3.79
54.0,48.0,54.0,0.0,0.0,0.02,4.11,3.63,3.79,3.68
48.0,54.0,56.0,0.0,0.02,0.01,3.63,3.79,3.68,3.86
54.0,56.0,54.0,0.02,0.01,0.0,3.79,3.68,3.86,3.45
56.0,54.0,62.0,0.01,0.0,0.0,3.68,3.86,3.45,3.55
54.0,62.0,72.0,0.0,0.0,0.07,3.86,3.45,3.55,4.66
62.0,72.0,72.0,0.0,0.07,0.18,3.45,3.55,4.66,7.6
72.0,72.0,69.0,0.07,0.18,0.0,3.55,4.66,7.6,4.27
72.0,69.0,60.0,0.18,0.0,0.0,4.66,7.6,4.27,4.15
69.0,60.0,70.0,0.0,0.0,0.0,7.6,4.27,4.15,21.4
60.0,70.0,66.0,0.0,0.0,1.41,4.27,4.15,21.4,143.0
70.0,66.0,50.0,0.0,1.41,1.23,4.15,21.4,143.0,40.2
66.0,50.0,55.0,1.41,1.23,0.0,21.4,143.0,40.2,21.8
50.0,55.0,54.0,1.23,0.0,0.0,143.0,40.2,21.8,6.68
55.0,54.0,57.0,0.0,0.0,0.0,40.2,21.8,6.68,5.23
54.0,57.0,65.0,0.0,0.0,30.04,21.8,6.68,5.23,4.43
57.0,65.0,66.0,0.0,30.04,0.0,6.68,5.23,4.43,3.79
65.0,66.0,64.0,30.04,0.0,0.0,5.23,4.43,3.79,6.67
66.0,64.0,60.0,0.0,0.0,0.26,4.43,3.79,6.67,13.7
64.0,60.0,70.0,0.0,0.26,0.15,3.79,6.67,13.7,5.89
60.0,70.0,68.0,0.26,0.15,0.0,6.67,13.7,5.89,4.92
70.0,68.0,72.0,0.15,0.0,0.04,13.7,5.89,4.92,4.05
68.0,72.0,67.0,0.0,0.04,0.0,5.89,4.92,4.05,3.9
72.0,67.0,71.0,0.04,0.0,0.2,4.92,4.05,3.9,18.9
